1362 EG , Osbellum joins the Gothioan Military
152 AK , Fake Africa is Formed
152 AK , Elvish Nokedia is Formed
155 AK , The Never Ending War Starts
201 AK , Waterdeep is Formed
306 AK , Strahd is Born
347 AK , Barovia is Formed
351 AK , Strahd Becomes a Vampire
523 AK , Nokede Declares War on Fake Africa
578 AK , Nokede Starts using Constructs in War Against Fake Africa
578 AK , Formicidae is built
583 AK , Formicidae is Deployed in Fake Africa
584 AK , Formicidae is Infested with Ants
623 AK , Gemia Forms Alliance with Gothia
666 AK , Voodoo Mama Juju is born
668 AK , Cade Goodbarrel is born
679 AK , Shade Goodbarrel is born
686 AK , Cade Goodbarrel is Accepted to HIW
686 AK , Cade Goodbarrel Soils Himself During Entrance Ceremony, and is kicked out
687 AK , Cade Goodbarrel Enrolls in SUCC
689 AK , Saint Bobe is Born
691 AK , Cade Goodbarrel Soils Himself During his Proposal to Vernomica
708 AK , Shade Goodbarrel Leaves for Emralia
708 AK , Squats is Born
709 AK , Vec is Born
709 AK , Shade Joins the Emralia Theives Guild
710 AK , Krag is Born
713 AK , Edge Lord is Born
715 AK , Newport Richie is Born
716 AK , Helen is Born
717 AK , Spagetti Spades is Born
717 AK , Phira is Born
718 AK , Krag's Tribe is Slaughtered by Strahd
723 AK , Edge Lord's Clan is Slaughtered by Orcus
730 AK , Shade Fails to Steal form a Gothoian Diplomate
730 AK , Shade Escapes Trail, leaving Gemia
730 AK , Shade Avrives in Heian
731 AK , Creamy Ice Cone is Born
733 AK , Cade Goodbarrel Goes off on his own
733 AK , Osignis Goes out of Hiding
733 AK , Edge Lord Arrives in Heian
734 AK , Cade Goodbarrel Arives in Heian
734 AK , Newport Richie Arives in Heian
734 AK , Shade Gets the Fuck out of Heian
734 AK , Edge Lord and the Pussy Cats Accept a Contract to take back Bridge World
734 AK , Edge Lord and the Pussy Cats Complete the Bridge World Contract
734 AK , Edge Lord and the Pussy Cats accept a Contract to Kill a Dragon in the Underdark
734 AK , Helen Joins Edge Lord and the Pussy Cats
734 AK , Osignis, Helen, and Edge Lord Fall in Battle
734 AK , Doctor and Osbellum Edge Lord and the Pussy Cats
734 AK , Edge Lord and the Pussy Cats Help Newport Richie Kill his Father
734 AK , Edge Lord and the Pussy Cats Get out of Heian
734 AK , Spagetti Spades Arives Outside Barovia
735 AK , Shade Arrives in Barovia
735 AK , Edge Lord and the Pussy Cats Arrive in Crater Grove
735 AK , The Doctor Leaves Edge Lord and the Pussy Cats
735 AK , Edge Lord and the Pussy Cats Leave Crater Grove
735 AK , Osbellum Leaves Edge Lord and the Pussy Cats
735 AK , Voodoo Mama Juju Joins Edge Lord and the Pussy Cats
735 AK , Formicidae Arives Outside Barovia
735 AK , Formicidae and Spagetti Spades Join Edge Lord and the Pussy Cats
735 AK , Edge Lord and the Pussy Cats Accept a Contract Outside of Barovia
735 AK , Edge Lord and the Pussy Cats Get Stuck in Barovia
735 AK , Edge Lord and the Pussy Cats
735 AK , Edge Lord and the Pussy Cats Get Stuck in Barovia
735 AK , Edge Lord and the Pussy Cats Get Split Up
735 AK , Edge Lord and the Pussy Cats Split up in Vallaki
735 AK , Edge Lord and the Pussy Cats Meet Timin, Shade Goodbarrel, Osbellum, and Vec
735 AK , Timin and Vec Leave Edge Lord and the Pussy Cats
735 AK , Krag Joins Edge Lord and the Pussy Cats
735 AK , Edge Lord and the Pussy Cats Arrive at the Amber Temple
735 AK , Spagetti Spades Turns on the Party
735 AK , Spagetti Spades is Defeated and Turned into a Vampire Lord
735 AK , Creamy Ice Cone Joins Edge Lord and the Pussy Cats
735 AK , Vec Finds a way out of Barovia
735 AK , Vec Meets up with Saint Bobe and Squats and form the Changling Heisters
735 AK , The Changling Heisters take over the Heian Theives Guild
735 AK , The Changling Heisters Steal the Heian Royal Treasury and Kill the King
735 AK , The Changling Heisters Leave to Waneh
735 AK , The Changling Heisters Steal the Waneh Royal Airship
735 AK , Phira Joins The Changling Heisters
735 AK , The Changling Heisters Leave Weneh
736 AK , The Changling Heisters Arrive in Bordon
736 AK , Edge Lord and the Pussy Cats Defeat Strahd
736 AK , Krag Leaves Edge Lord and the Pussy Cats
736 AK , Edge Lord and the Pussy Cats Leave Barovia
736 AK , Edge Lord and the Pussy Cats Arrive in Bordon
736 AK , Edge Lord and the Pussy Cats Merge with the Changling Heisters
736 AK , Creamy Ice Cone Leaves Edge Lord and the Pussy Cats
736 AK , Edge Lord and the Pussy Cats Go to Waterdeep
737 AK , Edge Lord and the Pussy Cats Successfully Get the Dragon Horde of 500,000gp
737 AK , Edge Lord and the Pussy Cats Formally Create a Guild of the same Name
738 AK , Creamy Ice Cone Rejoins Edge Lord and The Pussy Cats
738 AK , Edge Lord and the Pussy Cats Help Krag Reform the Barovian State
740 AK , The Barovian Council of Burgomasters is Formed
748 AK , Edge Lord and the Pussy Cats are Requested to help End the Never Ending War
749 AK , Edge Lord and the Pussy Cats Arrive in the Atheria Continent
750 AK , Edge Lord and the Pussy Cats Start a Guerilla Campaign Against Gothoia and Hende
750 AK , Barovia Joins Edge Lord and the Pussy Cats to End the Endless War
751 AK , Edge Lord and the Pussy Cats Get the Help of the Long Conquered Dwarves to End the Endless War
752 AK , Edge Lord and the Pussy Cats Gain Large Armies of unhappy Hendites and Gothoians
752 AK , Edge Lord and the Pussy Cats Form an Alliance with Gemia
753 AK , The Discord Filled State of Dende is Inherited by Phira of Weneh
753 AK , Dende Joins Edge Lord and the Pussy Cats in the Endless War
753 AK , Edge Lord and The Pussy Cats Found The Atherion Alliance
753 AK , Barovia, Dende, Gemia, The Kindom of Dwarves, Revolutionary Gothoia, and Revolutionary Hende Join the Atherion Alliance
754 AK , The Gothoia Invasion of Gemia starts
755 AK , Hende Joins the Invasion of Gemia
756 AK , The Invasion of Gemia Ends with Dende Support
756 AK , The Atherion Campaign Against Gothoia Starts
758 AK , The Gothoian Capital Falls to Edge Lord and Pussy cats and the Armies of The Atherion Alliance
758 AK , Gothoia and Hende Form The Endless Rival Alliance
759 AK , The Endless Rival Alliance Push Back Atherion Forces and retake the Gothoian Captial
759 AK , Edge Lord and the Pussy Cats with Atherion Forces get Encircled Outside the Gothoian Capital
759 AK , The Last Battle for Atherion Starts
759 AK , Osbellum Arrives at The Last Battle for Atherion with the Warrior's Army Winning the Battle
759 AK , A Rouge Portion of The Warriors Army Lead by Osbellum Joins The Atherion Alliance
759 AK , The Wedding of Squats and Phira Occurs
760 AK , Gothoia Falls to the Atherion Alliance
761 AK , Revolutionary Gothoia Forms the The Gothoian Federation
762 AK , The Kingdom of Dwarves is Liberated by the Atherion Alliance
762 AK , Hende Falls to The Atherion Alliance
762 AK , Revolutionary Hende Founds the Hende Council
763 AK , The Endless War Ends
763 AK , Atherion is formed
763 AK , Barovia, Dende, Gemia, The Kingdom of Dwarves, The Gothoian Federation and the Hende Council Join The Atherion Nation
764 AK , Squats and Phira are Crowned as the First King and Queen of Atherion
764 AK , The Atherion Advisors Council is Formed
771 AK , Edge Lord and the Pussy Cats is Disbanded
771 AK , Shade Goodbarrel and Vec found the Atherion Theives Guild
773 AK , Krag Passes Due to Poor Health From a Life of Battle
774 AK , Atherion Annexs Part of Old Nomeria
775 AK , Newport Richie Redefines the Newport Family
775 AK , The Pirate Nation Forms
776 AK , Fake Africa and Elvish Nokedia End War against Nokede
777 AK , Creamy Ice Cone Passes of Old Age
784 AK , Saint Bobe Passes of Old Age
790 AK , Goodbarrel Atherion College (GAC) is Founded by Cade Goodbarrel
793 AK , The Long Peace Begins
795 AK , Squats Passess of Old Age
795 AK , Ghero is Crowned the Second King of Atherion
796 AK , Newport Richie Passes of Old Age
798 AK , Vec Passes of Old Age
801 AK , Osbellum Asks for Shade, Cade, and Formicidae's Help Against his Father; Shade and Cade accept
803 AK , Fomicidae Vanishes Without a Trace
805 AK , The War of Wars Starts
806 AK , Osbellum and Osmetellum are Reunited
806 AK , Osmetellum Reforges Death's Blade
807 AK , Cade, Shade, and Osbellum Fight Against Tempus in The Battle of Warriors
807 AK , The Rouge Warrior's Army Wins at The Battle of Warriors
811 AK , Osbellum, Cade, and Shade Do a Final Push Through Warrior's Rest
813 AK , Osbellum Challenges his Father to a Fight
813 AK , Osbellum, Cade, and Shade Defeat Tempus
813 AK , Osigins' Soul is Released and He is Reunited with his Wife
813 AK , Osbellum Becomes Lord of Battles, and a God
813 AK , The Gods of Warrior's Rest Errupt into Chaos
818 AK , The GAC Vault if Created by Cade, Shade, Osbellum, and Osmetellum to Safe Guard Powerfull Artifacts
821 AK , Edge Lord and the Pussy Cats is Secretly Reformed to Help Protect The GAC Vault and All Life
821 AK , Cade Goodbarrel, Shade Goodbarrel, Osbellum, and Osmetellum Join The Reformed Edge Lord and The Pussy Cats
822 AK , Phira and Tabz Join The Reformed Edge Lord and The Pussy Cats
831 AK , Edge Lord and The Pussy Cats Find Kerlin's Blade
834 AK , Edge Lord and The Pussy Cats Find Kerlin's Plate
856 AK , Edge Lord and The Pussy Cats Find Destroyer of Civilization
878 AK , A Powerfull Articfact is Stollen from the GAC Vualt
878 AK , A New Class of Adventures Arrive at GAC Adventuring School
